autosupercell-app  | 2026-03-11T08:02:52.866039712Z 2026-03-11 08:02:52.865 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:02:52.871711321Z 2026-03-11 08:02:52.871 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/consent/010ca8c2-5d7a-43f5-ac8f-8c0d21467334/0196f1cf-e606-7fb0-8707-57957851d2d6/en.json
autosupercell-app  | 2026-03-11T08:02:52.874261841Z 2026-03-11 08:02:52.873 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:02:52.913970629Z 2026-03-11 08:02:52.913 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otFlat.json
autosupercell-app  | 2026-03-11T08:02:52.914993443Z 2026-03-11 08:02:52.914 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/v2/otPcCenter.json
autosupercell-app  | 2026-03-11T08:02:52.915583914Z 2026-03-11 08:02:52.915 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otCommonStyles.css
autosupercell-app  | 2026-03-11T08:02:52.916374428Z 2026-03-11 08:02:52.916 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:02:52.922236638Z 2026-03-11 08:02:52.921 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otFlat.json
autosupercell-app  | 2026-03-11T08:02:52.928656140Z 2026-03-11 08:02:52.925 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/v2/otPcCenter.json
autosupercell-app  | 2026-03-11T08:02:52.930104056Z 2026-03-11 08:02:52.929 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otCommonStyles.css
autosupercell-app  | 2026-03-11T08:02:53.042593640Z 2026-03-11 08:02:53.040 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://collector.snowplow.supercell.com/fe9da/yx7
